Запросы;21.10.2021;14.10.2021
"абонентское обслуживание атс";6;6
"стоимость обслуживания атс";3;2
"обслуживание телефонии";7;3
"обслуживание ip телефонии";10;4
"обслуживание телефонии в офисе";3;3
"ит помощь в спб";11;6
"ит поддержка";12;7
"it сопровождение";14;15
"it поддержка";13;8
"айти поддержка";9;7
"ит обслуживание спб";6;4
"ит обслуживание";8;5
"обслуживание it инфраструктуры";5;2
"обслуживание ит инфраструктуры";6;3
"it обслуживание";7;5
"абонентское обслуживание ит";7;4
"комплексное ит обслуживание";13;13
"абонентское it обслуживание";18;14
"ит услуги и обслуживание";6;8
"айти обслуживание";9;12
"it обслуживание спб";13;5
"it обслуживание в санкт петербурге";11;5
"ит обслуживание офисов";9;4
"обслуживание офиса it";7;4
"ит обслуживание предприятий";8;4
"ит обслуживание юридических лиц";13;8
"it обслуживание юридических лиц";12;5
"it обслуживание организаций";6;4
"ит обслуживание организаций";11;4
"ит обслуживание крупного бизнеса";3;2
"ит обслуживание бизнеса";8;5
"it обслуживание бизнеса";4;3
"услуги информационной безопасности";16;9
"услуги обеспечения информационной безопасности";54;17
"услуги в сфере информационной безопасности";48;43
"услуги в области информационной безопасности";59;49
"безопасность ит инфраструктуры";13;6
"оказание услуг по информационной безопасности";57;53
"обеспечение it безопасности";86;37
"безопасность it инфраструктуры";84;26
"информационная безопасность ит инфраструктуры";16;12
"услуги по предоставлению информационной безопасности";66;61
"it безопасность услуги";5;1
"оборудование офиса компьютерами";--;--
"оборудование офиса оргтехникой";--;--
"оборудование офиса по";10;5
"оборудование офиса программным обеспечением";--;--
"оборудование офиса техникой";41;24
"аудит ит инфраструктуры";6;5
"аудит ит";34;29
"ит аудит стоимость";2;1
"проведение ит аудит";3;2
"it аудит";11;8
"it аудит стоимость";5;3
"it аудит цена";3;1
"информационный аудит";27;24
"аудит информационных систем";51;57
"сетевой аудит";13;8
"аудит сетевого оборудования";14;12
"аудит информационной безопасности услуга";8;8
"аудит информационной безопасности";67;78
"аудит информационной безопасности предприятия";80;65
"аудит информационной безопасности цена";4;4
"комплексный аудит информационной безопасности";48;33
"внешний аудит информационной безопасности";9;29
"внутренний аудит информационной безопасности";7;30
"аудит системы обеспечения информационной безопасности";83;71
"аудит информационной безопасности стоимость";3;3
"активный аудит информационной безопасности";86;92
"аудит безопасности информационных систем";31;29
"аудит информационной безопасности компании";10;15
"аудит системы управления информационной безопасностью";--;--
"аудит информационной безопасности виды";73;46
"технологический аудит информационной безопасности";--;--
"аудит информационной безопасности спб";1;1
"внешний и внутренний аудит информационной безопасности";3;27
"техническое задание на аудит информационной безопасности";--;--
"инструментальный аудит информационной безопасности";--;--
"аудит информационной безопасности предприятия стоимость";5;3
"мониторинг и аудит информационной безопасности";--;--
"протоколирование и аудит информационной безопасности";--;--
"аудит информационной безопасности лицензия";22;56
"аудит информационной безопасности фирмы";19;11
"аудит информационной безопасности в организациях";80;64
"аудит информационной безопасности автоматизированных систем";--;--
"аудит состояния информационной безопасности на предприятии";69;67
"технический аудит информационной безопасности";17;19
"аудит информационной безопасности компьютерных систем";95;97
"аудит информационной безопасности компьютерных систем и сетей";--;43
"настройка атс";9;8
"настройка телефонии";--;--
"настройка ip атс цена";6;6
"айпи телефония настройка";--;--
"ip атс настройка";63;62
"цена настройки атс";7;6
"настройка телефонии в офисе";21;19
"настройка атс спб";8;6
"настройка ip телефонии цена";9;6
"настройка ip телефонии";85;--
"настройка мини атс";18;17
"настроить атс";--;--
"установка атс";15;--
"установка настройка атс";9;6
"установка ip атс";5;4
"установка мини атс для офиса";41;36
"установка атс цены";12;12
"установка мини атс цена";79;95
"it переезд";4;4
"ит переезд";3;3
"проектирование сетевой инфраструктуры";76;65
"проектирование ит инфраструктуры";13;10
"выполнение работ по проектированию сетевой инфраструктуры";--;--
"проектирование it инфраструктуры";23;15
"проектирование информационной инфраструктуры";--;--
"проектирование ит инфраструктуры предприятия";60;47
"поддержка серверов";50;39
"техническая поддержка серверов";37;35
"сервер обслуживание";18;8
"сопровождение серверов";8;2
"обслуживание серверов";17;10
"поддержание сервера";--;--
"настройка и поддержка серверов";93;82
"сопровождение сервера стоимость";9;9
"тех поддержка серверов";52;40
"поддержка серверов услуга";10;5
"абонентское обслуживание серверов";19;20
"обслуживание серверов цены";20;11
"обслуживание сервера";14;11
"ит аутсорсинг серверов";10;8
"аутсорсинг сервера";14;9
"аутсорсинг серверов";11;5
"обслуживание компьютеров и серверов";--;--
"обслуживание компьютеров и серверов организаций";39;13
"удаленное обслуживание компьютеров и серверов";37;25
"аренда удаленного сервера";32;21
"удаленный сервер аренда";29;16
"удаленный сервер";18;6
"удаленные сервера";14;6
"внедрение облачных решений";55;48
"внедрение облачных сервисов";87;86
"внедрение облачных технологий";71;73
"построение облачных решений";--;--
"аренда выделенных серверов";72;--
"сервер в аренду";45;34
"выделенный сервер аренда";54;48
"сервер аренда";50;36
"аренда серверной стойки";--;--
"сервер хранения данных";51;55
"обслуживание сетей";9;4
"специалист по обслуживанию компьютерных сетей";25;18
"установка сетевого оборудования";--;5
"обслуживание компьютерных сетей";15;9
"обслуживание локальных сетей";6;4
"монтаж и обслуживание компьютерных сетей";20;10
"настройка сетевого оборудования";--;56
"поддержка сетевого оборудования";2;2
"монтаж и настройка сетевого оборудования";11;5
"стоимость монтажа и настройки сетевого оборудования";10;4
"техническое обслуживание сетевого оборудования";3;3
"обслуживание сетевого оборудования";3;3
"техническое обслуживание активного сетевого оборудования";4;3
"настройка сетевого оборудования цена";5;3
"обслуживание локальных компьютерных сетей";6;3
"монтаж системы скуд";15;5
"монтаж систем контроля доступа";8;9
"монтаж системы контроля доступа";12;8
"установка систем контроля и управления доступом";16;6
"установка системы контроля управления доступом скуд";11;10
"установка скуд";25;12
"установка скуд цена";31;31
"установка систем скуд";9;9
"установка считывателя скуд";15;7
"установка скуд контроль доступа";15;6
"установка скуд спб";22;11
"скуд стоимость установки";26;8
"установка скуд в офис цены";29;15
"обслуживание wi fi сетей";13;5
"обслуживание сетей wifi";18;19
"построение беспроводной локальной сети";--;--
"построение сетей wifi";77;63
"построение беспроводной сети";77;66
"построение wifi сети";71;65
"построение бесшовной wifi сети";--;--
"построение wi fi";65;55
"построение бесшовного wifi";--;--
"построение wifi";--;--
"построение сети wi fi";93;64
"построение wifi сетей";69;59
"построение беспроводных сетей wi fi";99;99
"построение беспроводных сетей wifi";68;65
"ip видеонаблюдение цена";--;--
"монтаж и обслуживание видеонаблюдения";27;15
"калькулятор видеонаблюдения";--;--
"монтаж и обслуживание систем видеонаблюдения";18;17
"монтаж видеонаблюдения";47;29
"видеонаблюдение монтаж установка";51;29
"монтаж системы видеонаблюдения";39;25
"стоимость монтажа видеонаблюдения калькулятор";48;--
"монтаж систем видеонаблюдения";39;24
"установка и обслуживание систем видеонаблюдения";27;13
"установка систем видеонаблюдения";--;19
"стоимость работ по монтажу видеонаблюдения";40;23
"расчет стоимости видеонаблюдения";--;--
"обслуживание видеонаблюдения";13;11
"обслуживание видеонаблюдения цена";11;11
"обслуживание систем видеонаблюдения";17;9
"обслуживание систем видеонаблюдения цена";17;12
"обслуживание системы видеонаблюдения";16;9
"стоимость обслуживания видеонаблюдения";13;11
"техническое обслуживание видеонаблюдения";15;9
"техническое обслуживание видеонаблюдения цена";14;11
"техническое обслуживание систем видеонаблюдения";16;12
"обслуживание камер видеонаблюдения";20;12
"ремонт и обслуживание видеонаблюдения";19;15
"обслуживание системы видеонаблюдения цена";15;13
"услуги обслуживания систем видеонаблюдения";6;9
"обслуживание видеонаблюдения цена в месяц";15;11
"обслуживание камер видеонаблюдения цена";19;12
"стоимость обслуживания системы видеонаблюдения";13;10
"стоимость обслуживания видеонаблюдения в месяц";12;12
"обслуживание видеокамер системы видеонаблюдения цена";15;14
"техническое обслуживание систем видеонаблюдения цены";8;11
"стоимость технического обслуживания видеонаблюдения";10;8
"калькулятор стоимости обслуживания видеонаблюдения";24;22
"стоимость обслуживания видеонаблюдения в месяц калькулятор";17;19
"стоимость техническое обслуживание систем видеонаблюдения";14;10
"обслуживание видеонаблюдения цена в месяц за камеру";9;8
"расчет стоимости обслуживания видеонаблюдения";26;22
"стоимость обслуживания камер видеонаблюдения";17;11
"обслуживание системы видеонаблюдения цена в месяц";9;12
"техническое обслуживание видеонаблюдения цена за месяц";10;9
"расчет стоимости технического обслуживания видеонаблюдения";20;16
"стоимость технического обслуживания системы видеонаблюдения расценки";13;9
"калькулятор на обслуживание видеонаблюдения в месяц цена";13;5
"калькулятор обслуживания видеонаблюдения";24;16
"калькулятор обслуживания системы видеонаблюдения";17;15
"обслуживание 1с";21;14
"1с абонентское обслуживание";19;15
"обслуживание 1с в спб";12;12
"обслуживание 1с цена";34;23
"обслуживание 1с бухгалтерии";32;23
"услуги по 1с обслуживанию";22;14
"обслуживание 1с 8";30;17
"фирмы по обслуживанию 1с";14;11
"удаленное обслуживание 1с";55;49
"обслуживание 1с предприятие";21;15
"компании по обслуживанию 1с";13;10
"1с стоимость обслуживания";38;23
"установка и обслуживание 1с";24;18
"абонентское обслуживание 1с предприятие";16;18
